aanwezigheid_id,deelname_id,medewerker_id,activiteit_id,check_in_tijd,check_out_tijd,werkelijke_duur_min,geschatte_calorieen,hartslag_gem,hartslag_piek
1,1,205,1,2025-11-04 18:42:00,2025-11-04 19:20:00,38.0,535,125,
2,4,59,1,2025-11-04 18:39:00,2025-11-04 19:25:24,46.4,653,148,
3,5,62,2,2025-11-08 11:37:00,2025-11-08 12:10:00,33.0,33,99,124
4,6,142,2,2025-11-08 11:58:00,2025-11-08 12:28:12,30.2,30,105,117
5,7,191,2,2025-11-08 11:37:00,2025-11-08 12:09:00,32.0,32,103,
6,8,10,2,2025-11-08 11:58:00,2025-11-08 12:27:30,29.5,29,106,128
7,9,154,2,2025-11-08 11:54:00,2025-11-08 12:22:30,28.5,28,106,137
8,10,204,2,2025-11-08 11:44:00,2025-11-08 12:11:36,27.6,27,107,123
9,11,187,2,2025-11-08 11:51:00,2025-11-08 12:16:48,25.8,25,95,128
10,12,158,2,2025-11-08 11:46:00,2025-11-08 12:18:30,32.5,32,99,113
11,13,124,3,2025-11-09 14:05:00,2025-11-09 14:47:30,42.5,598,143,156
12,15,66,3,2025-11-09 14:03:00,2025-11-09 14:34:30,31.5,443,143,157
13,16,77,3,2025-11-09 14:01:00,2025-11-09 14:46:54,45.9,646,126,142
14,17,177,3,2025-11-09 14:02:00,2025-11-09 14:43:18,41.3,581,126,148
15,18,96,3,2025-11-09 13:59:00,2025-11-09 14:43:42,44.7,629,128,158
16,19,55,4,2025-11-09 14:49:00,2025-11-09 16:07:54,78.9,197,109,121
17,21,50,4,2025-11-09 14:54:00,2025-11-09 16:05:42,71.7,179,103,116
18,22,196,5,2025-11-03 17:11:00,2025-11-03 18:35:36,84.6,775,137,166
19,23,39,5,2025-11-03 17:29:00,2025-11-03 18:49:42,80.7,739,126,147
20,24,15,5,2025-11-03 17:22:00,2025-11-03 18:55:36,93.6,857,138,173
21,26,77,5,2025-11-03 17:27:00,2025-11-03 18:56:36,89.6,821,126,145
22,27,184,5,2025-11-03 17:28:00,2025-11-03 18:58:18,90.3,827,131,145
23,28,12,5,2025-11-03 17:14:00,2025-11-03 18:45:36,91.6,839,124,150
24,29,22,5,2025-11-03 17:13:00,2025-11-03 18:43:36,90.6,830,135,
25,31,101,5,2025-11-03 17:22:00,2025-11-03 18:52:12,90.2,826,132,145
26,32,158,5,2025-11-03 17:24:00,2025-11-03 18:48:54,84.9,778,,148
27,33,140,5,2025-11-03 17:20:00,2025-11-03 18:49:30,89.5,820,112,145
28,34,112,5,2025-11-03 17:14:00,2025-11-03 18:42:42,88.7,813,115,139
29,35,160,5,2025-11-03 17:06:00,2025-11-03 18:40:30,94.5,866,112,145
30,36,174,5,2025-11-03 17:23:00,2025-11-03 19:00:12,97.2,891,111,134
