tag_id,activiteit_id,tag
1,1,weekend
2,1,teambuilding
3,1,competitief
4,2,lunchpauze
5,2,beginner-vriendelijk
6,3,hoge-intensiteit
7,3,teambuilding
8,4,lunchpauze
9,5,vroege-vogel
10,5,weekend
11,5,na-werk
12,6,teambuilding
13,7,lunchpauze
14,7,weekend
15,8,lunchpauze
16,8,beginner-vriendelijk
17,8,vroege-vogel
18,9,na-werk
19,9,teambuilding
20,10,lunchpauze
21,10,buiten
22,10,teambuilding
23,11,na-werk
24,12,buiten
25,13,lunchpauze
26,13,na-werk
27,14,sociaal
28,14,competitief
29,15,lunchpauze
30,16,beginner-vriendelijk
31,16,na-werk
32,17,sociaal
33,17,teambuilding
34,18,competitief
35,19,vroege-vogel
36,19,weekend
37,20,vroege-vogel
38,21,weekend
39,22,beginner-vriendelijk
40,22,weekend
41,22,vroege-vogel
42,23,teambuilding
43,23,beginner-vriendelijk
44,24,na-werk
45,24,hoge-intensiteit
46,24,vroege-vogel
47,25,teambuilding
48,25,na-werk
49,26,lunchpauze
50,27,competitief
51,28,teambuilding
52,29,vroege-vogel
53,30,sociaal
54,31,na-werk
55,31,beginner-vriendelijk
56,32,buiten
57,32,lunchpauze
58,32,vroege-vogel
59,33,sociaal
60,34,na-werk
61,34,teambuilding
62,34,beginner-vriendelijk
63,35,hoge-intensiteit
64,36,vroege-vogel
65,37,competitief
66,37,lunchpauze
67,37,weekend
68,38,weekend
69,39,sociaal
70,39,lunchpauze
71,40,vroege-vogel
72,40,weekend
73,40,teambuilding
74,41,teambuilding
75,41,vroege-vogel
76,42,weekend
77,43,weekend
78,43,vroege-vogel
79,44,na-werk
80,45,lunchpauze
81,46,beginner-vriendelijk
82,46,lunchpauze
83,47,weekend
84,47,competitief
85,47,hoge-intensiteit
86,48,teambuilding
87,48,competitief
88,48,vroege-vogel
89,49,competitief
90,49,beginner-vriendelijk
91,50,competitief
92,51,weekend
93,52,lunchpauze
94,53,weekend
95,53,na-werk
96,54,na-werk
97,54,weekend
98,55,buiten
99,56,buiten
100,56,competitief
101,57,buiten
102,58,competitief
103,59,vroege-vogel
104,59,na-werk
105,60,competitief
106,60,buiten
107,61,hoge-intensiteit
108,62,sociaal
109,63,weekend
110,63,buiten
111,64,sociaal
112,65,competitief
113,65,vroege-vogel
114,65,buiten
115,66,vroege-vogel
116,66,buiten
117,66,na-werk
118,67,teambuilding
119,67,competitief
120,67,sociaal
121,68,teambuilding
122,68,vroege-vogel
123,68,beginner-vriendelijk
124,69,competitief
125,69,hoge-intensiteit
126,69,weekend
127,70,beginner-vriendelijk
128,71,sociaal
129,71,beginner-vriendelijk
130,72,lunchpauze
131,72,competitief
132,73,sociaal
133,74,na-werk
134,74,sociaal
135,75,vroege-vogel
136,75,weekend
137,75,na-werk
138,76,sociaal
139,76,teambuilding
140,76,hoge-intensiteit
141,77,sociaal
142,78,vroege-vogel
143,78,competitief
144,79,buiten
145,79,weekend
146,79,beginner-vriendelijk
147,80,teambuilding
148,81,beginner-vriendelijk
149,81,competitief
150,82,na-werk
151,82,weekend
152,83,lunchpauze
153,83,na-werk
154,83,beginner-vriendelijk
155,84,hoge-intensiteit
156,84,lunchpauze
157,85,weekend
158,85,hoge-intensiteit
159,85,sociaal
160,86,na-werk
161,86,hoge-intensiteit
162,87,competitief
163,87,beginner-vriendelijk
164,88,sociaal
165,89,sociaal
166,89,weekend
167,90,sociaal
168,90,buiten
169,90,teambuilding
170,91,weekend
171,91,hoge-intensiteit
172,92,sociaal
173,92,teambuilding
174,93,buiten
175,94,teambuilding
176,95,weekend
177,96,teambuilding
178,97,competitief
179,98,weekend
180,98,vroege-vogel
181,99,na-werk
182,99,vroege-vogel
183,99,hoge-intensiteit
184,100,beginner-vriendelijk
185,100,hoge-intensiteit
186,101,vroege-vogel
187,102,vroege-vogel
188,102,beginner-vriendelijk
189,102,lunchpauze
190,103,competitief
191,104,sociaal
192,105,sociaal
193,106,vroege-vogel
194,107,competitief
195,107,beginner-vriendelijk
196,108,weekend
197,108,na-werk
198,108,lunchpauze
199,109,sociaal
200,109,competitief
201,110,buiten
202,111,sociaal
203,112,buiten
204,113,competitief
205,114,buiten
