behaalde_prestatie_id,medewerker_id,prestatie_id,behaald_op,punten_toegekend
1,3,10,2026-04-06,200
2,3,17,2026-05-01,100
3,4,6,2026-05-03,200
4,4,4,2026-04-28,250
5,4,2,2026-03-28,200
6,6,17,2026-03-03,100
7,6,3,2026-04-23,500
8,6,2,2026-03-03,200
9,6,4,2026-04-10,250
10,6,19,2026-04-08,200
11,6,5,2026-04-22,200
12,6,6,2026-03-29,200
13,8,19,2026-05-04,200
14,9,3,2026-02-16,500
15,9,1,2026-02-24,50
16,9,10,2026-05-02,200
17,9,18,2026-02-08,50
18,9,4,2026-02-20,250
19,9,5,2026-03-27,200
20,9,6,2026-02-24,200
21,9,17,2026-05-01,100
22,10,4,2025-11-23,250
23,10,5,2025-10-20,200
24,10,20,2024-09-08,500
25,10,10,2026-01-31,200
26,10,6,2025-08-21,200
27,10,3,2025-10-16,500
28,10,18,2024-10-17,50
29,11,19,2025-12-11,200
30,11,4,2025-01-15,250
31,12,1,2026-04-28,50
32,12,18,2025-01-03,50
33,12,20,2025-10-17,500
34,13,1,2026-04-06,50
35,14,5,2025-08-11,200
36,14,20,2026-02-24,500
37,14,18,2025-07-04,50
38,14,6,2025-10-15,200
39,15,6,2025-08-14,200
40,16,18,2026-03-09,50
41,16,1,2026-03-19,50
42,16,4,2026-04-05,250
43,16,6,2026-05-04,200
44,16,3,2026-04-24,500
45,16,17,2026-03-09,100
46,16,5,2026-04-29,200
47,16,2,2026-03-25,200
48,17,17,2025-08-10,100
49,18,6,2025-09-15,200
50,18,2,2025-12-15,200
51,18,10,2025-02-25,200
52,18,20,2026-03-01,500
53,18,4,2025-09-26,250
54,19,10,2026-04-10,200
55,19,6,2026-03-16,200
56,19,5,2025-12-18,200
57,19,4,2026-04-02,250
58,20,18,2026-04-09,50
59,20,10,2026-04-01,200
60,20,5,2026-04-11,200
61,20,2,2026-04-08,200
62,20,4,2026-04-22,250
63,20,17,2026-05-03,100
64,21,1,2026-03-11,50
65,21,6,2026-03-22,200
66,21,4,2026-02-12,250
67,21,10,2026-03-25,200
68,21,17,2026-04-07,100
69,22,20,2025-03-05,500
70,22,5,2025-04-09,200
71,22,10,2024-09-01,200
72,22,17,2025-12-18,100
73,22,1,2025-11-29,50
74,22,6,2024-07-25,200
75,23,5,2026-04-14,200
76,23,2,2026-04-20,200
77,23,17,2026-02-02,100
78,23,1,2026-04-21,50
79,23,4,2026-03-21,250
80,23,10,2026-03-04,200
81,23,3,2026-04-23,500
82,23,18,2026-04-20,50
83,24,10,2026-02-27,200
84,24,20,2025-05-07,500
85,25,4,2026-03-22,250
86,25,10,2026-03-23,200
87,25,18,2026-03-20,50
