dashboard_id,medewerker_id,snapshot_datum,activiteiten_vandaag,actieve_minuten_vandaag,calorieen_vandaag,gem_hartslag,reeks_weken,totaal_punten,rang_in_org,doel_voortgang_pct
1,205,2025-11-04,1,38.0,535,125.0,1,200,170,21.1
2,59,2025-11-04,1,46.4,653,148.0,1,550,22,
3,62,2025-11-08,2,90.6,465,100.5,1,1200,3,59.2
4,142,2025-11-08,2,107.5,957,113.5,1,950,19,35.8
5,191,2025-11-08,1,32.0,32,103.0,1,200,63,64.1
6,10,2025-11-08,1,29.5,29,106.0,1,1900,60,16.4
7,154,2025-11-08,1,28.5,28,106.0,1,1250,20,42.3
8,204,2025-11-08,1,27.6,27,107.0,1,1700,96,18.4
9,187,2025-11-08,1,25.8,25,95.0,1,1350,66,17.2
10,158,2025-11-08,1,32.5,32,99.0,1,1300,2,69.4
11,124,2025-11-09,1,42.5,598,143.0,1,2450,89,58.3
12,66,2025-11-09,1,31.5,443,143.0,1,1500,44,13.1
13,77,2025-11-09,1,45.9,646,126.0,1,400,12,75.3
14,177,2025-11-09,1,41.3,581,126.0,1,1150,112,22.9
15,96,2025-11-09,1,44.7,629,128.0,1,750,29,24.8
16,55,2025-11-09,1,78.9,197,109.0,1,700,156,52.6
17,50,2025-11-09,1,71.7,179,103.0,1,250,41,47.8
18,196,2025-11-03,1,84.6,775,137.0,1,300,59,94.0
19,39,2025-11-03,2,122.3,1221,129.0,1,1500,15,
20,15,2025-11-03,1,93.6,857,138.0,1,200,5,
21,77,2025-11-03,1,89.6,821,126.0,1,400,12,75.3
22,184,2025-11-03,2,140.3,1407,130.5,1,650,1,150
23,12,2025-11-03,1,91.6,839,124.0,1,600,114,61.1
24,22,2025-11-03,1,90.6,830,135.0,1,1250,28,
25,101,2025-11-03,1,90.2,826,132.0,1,2050,8,150
26,158,2025-11-03,2,134.1,1348,119.0,1,1300,2,69.4
27,140,2025-11-03,1,89.5,820,112.0,1,2250,195,74.6
28,112,2025-11-03,1,88.7,813,115.0,1,1750,6,103.7
29,160,2025-11-03,1,94.5,866,112.0,1,550,4,84.7
30,174,2025-11-03,1,97.2,891,111.0,1,850,158,32.4
31,178,2025-11-03,1,101.4,135,98.0,1,750,189,33.8
32,98,2025-11-03,1,94.6,126,106.0,1,200,9,71.0
33,58,2025-11-03,2,132.1,635,104.0,1,250,13,55.0
34,81,2025-11-03,1,99.0,132,102.0,1,1150,7,73.7
35,135,2025-11-03,1,84.4,112,103.0,1,1300,14,112.0
36,184,2025-11-08,2,137.4,1388,134.0,1,650,1,150
37,29,2025-11-08,1,69.0,828,151.0,1,500,11,90.9
38,206,2025-11-08,1,68.1,817,121.0,1,1200,164,37.8
39,160,2025-11-08,1,83.4,1000,123.0,1,550,4,84.7
40,124,2025-11-06,1,44.9,493,,1,2450,26,58.3
41,217,2025-11-06,1,41.1,452,136.0,1,2000,123,19.6
42,78,2025-11-06,1,51.1,562,139.0,1,2050,201,42.6
43,213,2025-11-06,1,48.2,530,140.0,1,1600,212,40.2
44,145,2025-11-06,1,45.2,497,121.0,1,1400,155,21.5
45,200,2025-11-06,1,44.8,492,128.0,1,200,36,29.9
46,114,2025-11-06,1,52.0,572,113.0,1,1200,18,45.2
47,49,2025-11-06,1,44.2,486,119.0,1,750,129,21.0
48,85,2025-11-06,1,43.5,478,131.0,1,200,96,48.3
49,191,2025-11-06,1,44.9,493,122.0,1,200,192,64.1
50,62,2025-11-06,1,51.6,567,113.0,1,1200,3,59.2
51,135,2025-11-06,1,50.0,550,120.0,1,1300,14,112.0
52,37,2025-11-05,1,73.2,610,132.0,1,100,66,34.9
53,157,2025-11-05,1,71.1,592,124.0,1,750,210,79.0
54,184,2025-11-05,1,72.0,600,124.0,1,650,1,150
