profiel_id,medewerker_id,lengte_cm,gewicht_kg,fitness_niveau,hoofddoel,weekdoel_minuten,voorkeurstijd,bio,profiel_volledig_pct
1,3,177.7,93.2,Beginner,Gewichtsverlies,90,Ochtend,,100
2,4,176.5,82.6,Gemiddeld,Stressvermindering,240,Avond,,90
3,6,174.5,75.3,Gemiddeld,Algemene fitheid,180,Lunch,Springen plein zoon meisje scheiden werk zonnig haar pas hoed natuur zus jongen cirkel onder.,60
4,9,169.8,63.8,Gemiddeld,Gewichtsverlies,180,Lunch,,70
5,10,174.2,74.6,Gevorderd,Gewichtsverlies,180,Lunch,,90
6,11,169.1,69.4,Gemiddeld,Stressvermindering,90,Avond,Springen min vaak voetbal geel halen eigen bruiloft maand trui stem falen persoon laat bed.,100
7,12,167.3,50.8,Gevorderd,Algemene fitheid,150,Avond,Om praten activiteit enthousiast grof totaal herfst moeilijk honger aarde schaap iets.,70
8,14,178.4,68.6,Gevorderd,Algemene fitheid,180,Avond,Persoon anders dromen houden idee rijzen wakker tuin product meerdere plattegrond voorzien niets hut thuis.,70
9,16,179.8,72.5,Beginner,Sociaal,210,Avond,,60
10,17,168.8,83.6,Gemiddeld,Gewichtsverlies,120,Lunch,,90
11,18,177.5,73.6,Gemiddeld,Algemene fitheid,300,Avond,,60
12,20,172.0,71.1,Beginner,Algemene fitheid,90,Middag,Weg behalve naar onderzoek rots oefening afspraak ook huilen wakker trouwen beroemd delen.,70
13,21,180.2,92.7,Gemiddeld,Algemene fitheid,90,Lunch,,70
14,23,176.7,88.2,Gemiddeld,Algemene fitheid,240,Lunch,,90
15,24,158.5,65.9,Beginner,Uithoudingsvermogen,120,Avond,,60
16,25,173.5,68.3,Gemiddeld,Sociaal,180,Ochtend,,80
17,26,175.6,72.7,Beginner,Stressvermindering,90,Lunch,,60
18,27,195.1,76.9,Gemiddeld,Algemene fitheid,150,Middag,Iedereen kist neus doorzichtig papier eenheid brug.,100
19,28,170.8,61.3,Gemiddeld,Sociaal,90,Ochtend,,100
20,29,168.2,55.4,Gemiddeld,Algemene fitheid,150,Avond,,100
21,30,163.7,73.0,Gemiddeld,Stressvermindering,180,Lunch,,60
22,31,164.6,55.5,Gevorderd,Uithoudingsvermogen,120,Avond,,70
23,32,167.5,52.7,Gevorderd,Sociaal,90,Avond,,90
24,33,187.2,90.0,Gemiddeld,Algemene fitheid,90,Lunch,Sinds hobby antwoord laag min geliefde lomp wolk foto helft brief.,80
25,34,171.1,57.6,Gevorderd,Uithoudingsvermogen,120,Avond,Terug waarom liegen als meest mis eeuw.,70
26,35,197.2,82.1,Gevorderd,Stressvermindering,90,Ochtend,Stap nacht tellen dapper vinden veel wij rood computer speciaal lunch smaak naast aap.,60
27,36,164.5,73.3,Gemiddeld,Spieropbouw,240,Avond,,90
28,37,179.9,84.6,Gemiddeld,Sociaal,210,Avond,,90
29,40,184.4,78.6,Gevorderd,Algemene fitheid,90,Lunch,Schaduw over blauw maat bedekken naam redden.,100
30,41,179.1,71.6,Gemiddeld,Algemene fitheid,150,Avond,Alleen taal presenteren feest enkele haan net tekenen rijst grap ding.,70
31,42,182.0,65.1,Beginner,Sociaal,180,Middag,Afhangen plafond moorden extreem jas hoeveel dan simpel.,100
32,43,180.4,86.0,Beginner,Gewichtsverlies,240,Lunch,Onze drie heuvel voorzien noch beer andere vriendelijk beer klimmen blad.,100
33,44,176.5,83.7,Gemiddeld,Sociaal,90,Lunch,Dubbel overeenkomen oud vergeten schrijven piano hier vanmorgen sluiten rijk netjes zij stuk.,100
34,45,170.1,46.5,Gevorderd,Stressvermindering,240,Avond,,100
35,46,161.7,53.9,Beginner,Sociaal,210,Ochtend,Ons bloem uitleggen schreeuwen boom het probleem taxi mama wissen dapper vos gewicht kap.,70
36,47,170.4,70.9,Gevorderd,Gewichtsverlies,180,Avond,,100
37,48,172.5,70.9,Gevorderd,Algemene fitheid,90,Avond,,80
38,49,175.7,86.6,Beginner,Algemene fitheid,210,Avond,,80
39,50,175.8,84.2,Gemiddeld,Stressvermindering,150,Ochtend,Schrijven repareren toen voet lopen angst markeren jij maal.,100
40,51,177.0,81.8,Beginner,Uithoudingsvermogen,240,Avond,,100
41,52,175.0,71.7,Gemiddeld,Algemene fitheid,120,Ochtend,Grond jaar onze moeten kraam smal boven of best.,60
42,53,172.7,87.8,Gemiddeld,Algemene fitheid,180,Lunch,,70
43,54,170.4,77.4,Beginner,Sociaal,210,Avond,,60
44,55,165.0,79.3,Gemiddeld,Algemene fitheid,150,Ochtend,Net kopen laag plaatje noot zij klimmen iemand vals oranje tien.,80
45,58,173.6,81.8,Elite,Uithoudingsvermogen,240,Avond,,60
46,60,182.9,91.0,Beginner,Sociaal,120,Middag,,80
47,61,176.6,78.1,Gemiddeld,Gewichtsverlies,150,Avond,,80
48,62,181.9,57.5,Gevorderd,Algemene fitheid,240,Middag,,90
49,63,181.3,76.8,Beginner,Sociaal,150,Lunch,,100
50,64,168.0,74.6,Beginner,Algemene fitheid,120,Lunch,,90
51,65,173.1,74.3,Gevorderd,Sociaal,240,Avond,,80
52,66,172.0,96.7,Beginner,Algemene fitheid,240,Lunch,,100
53,67,176.6,77.8,Gemiddeld,Gewichtsverlies,120,Avond,,60
