ranglijst_id,organisatie_id,medewerker_id,week_startdatum,rang,totaal_punten,activiteiten_bijgewoond,actieve_minuten
1,1,184,2025-11-03,1,319,5,349
2,1,158,2025-11-03,2,183,3,166
3,1,62,2025-11-03,3,178,3,142
4,1,160,2025-11-03,4,135,2,177
5,1,15,2025-11-03,5,133,2,166
6,1,112,2025-11-03,6,131,2,155
7,1,81,2025-11-03,7,130,2,154
8,1,101,2025-11-03,8,130,2,154
9,1,98,2025-11-03,9,129,2,149
10,1,87,2025-11-03,10,128,2,143
11,1,29,2025-11-03,11,127,2,136
12,1,77,2025-11-03,12,127,2,135
13,1,58,2025-11-03,13,126,2,132
14,1,135,2025-11-03,14,126,2,134
15,1,39,2025-11-03,15,124,2,122
16,1,76,2025-11-03,16,124,2,124
17,1,166,2025-11-03,17,123,2,115
18,1,114,2025-11-03,18,121,2,108
19,1,142,2025-11-03,19,121,2,107
20,1,154,2025-11-03,20,120,2,101
21,1,86,2025-11-10,1,200,3,252
22,1,97,2025-11-10,2,138,2,191
23,1,48,2025-11-10,3,136,2,182
24,1,131,2025-11-10,4,135,2,178
25,1,154,2025-11-10,5,135,2,177
26,1,196,2025-11-10,6,134,2,174
27,1,35,2025-11-10,7,133,2,168
28,1,45,2025-11-10,8,132,2,161
29,1,200,2025-11-10,9,130,2,150
30,1,135,2025-11-10,10,129,2,145
31,1,105,2025-11-10,11,128,2,142
32,1,101,2025-11-10,12,127,2,138
33,1,123,2025-11-10,13,126,2,133
34,1,113,2025-11-10,14,120,2,101
35,1,157,2025-11-10,15,120,2,103
36,1,174,2025-11-10,16,69,1,96
37,1,70,2025-11-10,17,68,1,93
38,1,74,2025-11-10,18,68,1,90
39,1,95,2025-11-10,19,68,1,94
40,1,99,2025-11-10,20,68,1,94
41,1,35,2025-11-17,1,246,4,230
42,1,45,2025-11-17,2,194,3,220
43,1,53,2025-11-17,3,194,3,220
44,1,123,2025-11-17,4,189,3,195
45,1,162,2025-11-17,5,187,3,187
46,1,178,2025-11-17,6,184,3,170
47,1,10,2025-11-17,7,183,3,168
48,1,114,2025-11-17,8,183,3,165
49,1,206,2025-11-17,9,182,3,160
50,1,205,2025-11-17,10,181,3,157
51,1,106,2025-11-17,11,180,3,153
52,1,120,2025-11-17,12,177,3,138
53,1,158,2025-11-17,13,172,3,112
54,1,99,2025-11-17,14,137,2,189
55,1,127,2025-11-17,15,135,2,178
56,1,132,2025-11-17,16,133,2,165
57,1,11,2025-11-17,17,132,2,160
58,1,62,2025-11-17,18,132,2,161
59,1,75,2025-11-17,19,132,2,164
60,1,119,2025-11-17,20,130,2,152
61,1,117,2025-11-24,1,244,4,221
62,1,87,2025-11-24,2,199,3,248
63,1,91,2025-11-24,3,195,3,228
64,1,202,2025-11-24,4,186,3,182
65,1,76,2025-11-24,5,184,3,173
66,1,96,2025-11-24,6,183,3,169
67,1,36,2025-11-24,7,140,2,202
68,1,51,2025-11-24,8,138,2,191
69,1,78,2025-11-24,9,137,2,186
70,1,129,2025-11-24,10,135,2,176
71,1,188,2025-11-24,11,135,2,179
72,1,103,2025-11-24,12,134,2,173
73,1,11,2025-11-24,13,133,2,165
74,1,19,2025-11-24,14,131,2,159
75,1,206,2025-11-24,15,131,2,159
76,1,63,2025-11-24,16,128,2,144
77,1,14,2025-11-24,17,127,2,136
78,1,124,2025-11-24,18,125,2,125
79,1,177,2025-11-24,19,125,2,125
80,1,45,2025-11-24,20,124,2,123
81,1,117,2025-12-01,1,189,3,198
82,1,181,2025-12-01,2,182,3,161
83,1,139,2025-12-01,3,178,3,141
84,1,158,2025-12-01,4,174,3,121
85,1,37,2025-12-01,5,131,2,157
86,1,214,2025-12-01,6,129,2,149
87,1,103,2025-12-01,7,128,2,140
88,1,84,2025-12-01,8,124,2,124
89,1,166,2025-12-01,9,123,2,119
90,1,10,2025-12-01,10,117,2,89
91,1,96,2025-12-01,11,113,2,65
92,1,94,2025-12-01,12,74,1,121
93,1,119,2025-12-01,13,74,1,124
94,1,184,2025-12-01,14,74,1,121
95,1,45,2025-12-01,15,69,1,95
96,1,211,2025-12-01,16,69,1,95
97,1,102,2025-12-01,17,66,1,82
98,1,99,2025-12-01,18,65,1,79
99,1,116,2025-12-01,19,65,1,77
100,1,132,2025-12-01,20,65,1,76
101,1,117,2025-12-08,1,325,5,375
102,1,116,2025-12-08,2,185,3,178
103,1,72,2025-12-08,3,184,3,170
104,1,129,2025-12-08,4,127,2,137
105,1,162,2025-12-08,5,127,2,138
106,1,150,2025-12-08,6,125,2,127
107,1,164,2025-12-08,7,125,2,129
108,1,55,2025-12-08,8,124,2,124
109,1,114,2025-12-08,9,124,2,121
110,1,200,2025-12-08,10,124,2,120
111,1,105,2025-12-08,11,123,2,116
112,1,145,2025-12-08,12,123,2,115
113,1,11,2025-12-08,13,122,2,113
114,1,19,2025-12-08,14,121,2,106
115,1,86,2025-12-08,15,121,2,107
116,1,190,2025-12-08,16,121,2,108
117,1,104,2025-12-08,17,120,2,103
118,1,101,2025-12-08,18,119,2,96
119,1,113,2025-12-08,19,119,2,98
120,1,90,2025-12-08,20,118,2,92
121,1,37,2025-12-15,1,335,5,427
122,1,106,2025-12-15,2,262,4,310
123,1,104,2025-12-15,3,258,4,292
124,1,101,2025-12-15,4,245,4,225
125,1,15,2025-12-15,5,242,4,214
126,1,203,2025-12-15,6,238,4,190
127,1,140,2025-12-15,7,203,3,268
128,1,162,2025-12-15,8,199,3,248
129,1,135,2025-12-15,9,198,3,243
130,1,199,2025-12-15,10,195,3,228
131,1,202,2025-12-15,11,193,3,216
132,1,11,2025-12-15,12,192,3,210
133,1,142,2025-12-15,13,191,3,206
134,1,217,2025-12-15,14,191,3,205
135,1,86,2025-12-15,15,188,3,194
136,1,81,2025-12-15,16,187,3,188
137,1,160,2025-12-15,17,184,3,170
138,1,85,2025-12-15,18,182,3,162
139,1,211,2025-12-15,19,182,3,161
140,1,219,2025-12-15,20,179,3,145
141,1,26,2025-12-22,1,123,2,115
142,1,106,2025-12-22,2,118,2,90
143,1,55,2025-12-22,3,117,2,88
144,1,72,2025-12-22,4,68,1,90
145,1,63,2025-12-22,5,67,1,88
146,1,137,2025-12-22,6,67,1,87
147,1,204,2025-12-22,7,67,1,86
148,1,209,2025-12-22,8,67,1,89
149,1,135,2025-12-22,9,66,1,83
150,1,10,2025-12-22,10,62,1,62
151,1,120,2025-12-22,11,62,1,62
152,1,206,2025-12-22,12,62,1,60
153,1,208,2025-12-22,13,62,1,61
154,1,18,2025-12-22,14,61,1,59
155,1,95,2025-12-22,15,61,1,59
