interesse_id,medewerker_id,sport_id,vaardigheidsniveau,jaren_ervaring,toegevoegd_op
1,2,6,Beginner,1,2026-05-03
2,2,2,Gemiddeld,1,2026-03-25
3,3,20,Beginner,0,2026-03-09
4,3,1,Gemiddeld,2,2026-03-07
5,3,11,Beginner,3,2026-02-23
6,4,4,Gemiddeld,0,2026-04-01
7,4,13,Gemiddeld,2,2026-03-24
8,4,9,Gevorderd,1,2026-04-19
9,6,20,Beginner,1,2026-03-29
10,6,21,Gemiddeld,2,2026-03-11
11,6,12,Gemiddeld,1,2026-03-10
12,6,7,Gevorderd,2,2026-03-09
13,8,13,Gevorderd,0,2026-04-16
14,9,8,Beginner,1,2026-02-15
15,9,23,Gemiddeld,12,2026-02-19
16,9,13,Gevorderd,1,2026-04-01
17,9,12,Gemiddeld,3,2026-02-15
18,10,11,Beginner,12,2025-09-26
19,10,4,Expert,0,2025-03-24
20,10,21,Gemiddeld,12,2024-11-22
21,10,18,Beginner,2,2024-08-19
22,10,23,Beginner,5,2026-04-06
23,11,16,Beginner,3,2025-11-05
24,11,21,Beginner,2,2026-02-03
25,11,1,Gemiddeld,1,2025-07-24
26,11,13,Gemiddeld,2,2025-06-05
27,12,18,Beginner,2,2026-01-09
28,13,22,Beginner,2,2026-03-28
29,13,6,Gemiddeld,1,2026-04-16
30,13,4,Gemiddeld,2,2026-03-31
31,14,19,Beginner,8,2025-06-19
32,14,1,Beginner,0,2026-04-14
33,14,7,Gemiddeld,1,2025-04-21
34,14,20,Gemiddeld,3,2026-02-28
35,15,16,Gemiddeld,2,2026-02-19
36,15,10,Gevorderd,3,2025-06-23
37,15,17,Beginner,2,2026-02-18
38,15,11,Beginner,1,2025-08-19
39,15,21,Beginner,5,2025-09-05
40,16,19,Gemiddeld,1,2026-04-04
41,16,15,Beginner,0,2026-03-25
42,17,10,Beginner,3,2025-12-31
43,17,16,Gemiddeld,5,2025-10-17
44,17,12,Gemiddeld,2,2025-05-12
45,18,21,Gevorderd,2,2026-03-01
46,19,14,Beginner,5,2026-02-25
47,19,7,Expert,3,2025-11-29
48,19,13,Beginner,8,2026-04-13
49,19,20,Beginner,2,2025-12-04
50,19,17,Beginner,3,2026-03-23
51,20,20,Gemiddeld,0,2026-04-03
52,20,19,Gevorderd,5,2026-05-01
53,20,2,Beginner,1,2026-04-14
54,20,7,Beginner,5,2026-04-25
55,20,4,Gemiddeld,1,2026-04-06
56,21,10,Gemiddeld,0,2026-03-30
57,22,7,Beginner,8,2024-06-21
58,22,11,Expert,5,2025-01-29
59,22,6,Beginner,2,2024-03-22
60,23,9,Gemiddeld,1,2026-04-03
61,23,5,Expert,1,2026-01-23
62,23,13,Beginner,0,2026-03-21
63,23,8,Beginner,5,2026-03-01
64,23,4,Gemiddeld,8,2026-02-24
