lidmaatschap_id,team_id,medewerker_id,toegetreden_op,rol
1,1,97,2026-03-18,aanvoerder
2,1,10,2026-04-07,lid
3,1,219,2026-03-19,lid
4,1,174,2026-04-27,lid
5,1,119,2026-04-26,lid
6,1,6,2026-04-27,lid
7,1,44,2026-04-26,lid
8,1,33,2026-04-06,lid
9,1,11,2026-03-26,lid
10,1,94,2026-04-04,lid
11,1,18,2026-05-03,lid
12,1,154,2026-04-30,lid
13,2,161,2026-02-07,aanvoerder
14,2,190,2026-02-10,lid
15,2,32,2026-02-28,lid
16,2,208,2026-04-28,lid
17,2,142,2026-04-24,lid
18,2,175,2026-04-06,lid
19,2,36,2026-03-23,lid
20,2,111,2026-05-03,lid
21,2,204,2026-04-26,lid
22,2,206,2026-04-27,lid
23,2,42,2026-04-17,lid
24,2,40,2026-04-25,lid
25,3,64,2026-02-24,aanvoerder
26,3,89,2026-04-13,lid
27,3,181,2026-04-17,lid
28,3,78,2026-03-09,lid
29,3,156,2026-04-26,lid
30,3,9,2026-04-14,lid
31,3,93,2026-04-15,lid
32,3,152,2026-03-21,lid
33,3,17,2026-03-21,lid
34,3,108,2026-02-24,lid
35,3,116,2026-03-19,lid
36,3,214,2026-04-01,lid
37,3,121,2026-03-07,lid
38,3,105,2026-04-05,lid
39,3,107,2026-03-29,lid
40,3,30,2026-03-30,lid
41,3,200,2026-04-20,lid
42,3,163,2026-04-23,lid
43,3,76,2026-03-28,lid
44,4,168,2025-11-12,aanvoerder
45,4,62,2026-04-16,lid
46,4,209,2026-02-27,lid
47,4,100,2026-02-27,lid
48,4,101,2026-04-24,lid
49,4,123,2026-03-29,lid
50,4,98,2025-12-19,lid
51,4,28,2026-04-06,lid
52,4,29,2025-12-28,lid
53,4,213,2026-03-15,lid
54,4,128,2026-01-05,lid
55,4,203,2025-11-25,lid
56,4,136,2026-04-22,lid
57,4,145,2026-03-15,lid
58,4,219,2026-01-14,lid
59,4,86,2026-04-19,lid
60,4,66,2026-01-12,lid
61,4,173,2026-03-06,lid
62,4,158,2025-11-20,lid
63,4,12,2026-03-15,lid
64,4,85,2026-01-04,lid
65,4,170,2026-01-23,lid
66,4,14,2026-04-04,lid
67,4,77,2026-02-02,lid
68,4,92,2026-02-27,lid
69,5,150,2026-01-09,aanvoerder
70,5,55,2026-03-21,lid
71,5,142,2026-03-21,lid
72,5,54,2026-03-04,lid
73,5,106,2026-01-16,lid
74,5,219,2026-01-17,lid
75,5,120,2026-01-15,lid
76,5,94,2026-01-29,lid
77,5,201,2026-05-04,lid
78,5,90,2026-02-21,lid
79,5,37,2026-02-28,lid
80,5,32,2026-04-05,lid
81,5,197,2026-04-02,lid
82,5,20,2026-04-29,lid
83,5,51,2026-03-25,lid
84,5,189,2026-03-17,lid
85,5,43,2026-01-30,lid
86,5,118,2026-03-29,lid
87,5,45,2026-03-25,lid
88,5,113,2026-04-13,lid
89,5,26,2026-03-06,lid
90,5,42,2026-04-07,lid
91,5,157,2026-03-04,lid
92,5,210,2026-04-14,lid
93,5,190,2026-03-23,lid
94,5,103,2026-03-27,lid
95,5,69,2026-04-27,lid
96,6,194,2025-11-15,aanvoerder
97,6,164,2026-03-31,lid
98,6,148,2025-12-25,lid
99,6,140,2026-02-26,lid
100,6,184,2026-03-25,lid
101,6,167,2025-12-06,lid
102,6,177,2026-02-04,lid
103,6,119,2026-01-21,lid
104,6,3,2025-12-23,lid
105,6,20,2026-01-14,lid
106,6,14,2026-04-02,lid
107,6,181,2025-12-31,lid
108,6,116,2026-04-13,lid
109,6,142,2025-12-05,lid
110,6,129,2026-04-15,lid
111,6,72,2026-03-01,lid
112,7,160,2025-12-07,aanvoerder
113,7,119,2026-03-19,lid
114,7,14,2026-02-10,lid
115,7,174,2026-05-02,lid
116,7,142,2025-12-26,lid
117,7,116,2026-04-12,lid
118,7,181,2025-12-16,lid
119,7,110,2026-02-27,lid
